NOTAM Text,Category
"V0121/23 NOTAMN 
Q) BIRD/QPICH/I/BO/A/000/999/6359N02236W005 
A) BIKF 
B) 2303230001 
C) 2305180001 
E) [US DOD PROCEDURAL NOTAM] INSTRUMENT APPROACH PROCEDURE CHANGED RNP RWY 10; CAUTION: DAFIF AND PUBLISHED AIRFIELD ELEVATION/THRE DIFFERS FROM HOST NATION. HOST NATION PUBLISHED AIRFIELD ELEVATION IS 170 FT, THRE IS 109. REVISE CIRCLING MINIMA TO READCAT A 600-2000M 430 (500-2000M), CAT B 670-2400M 500 (500-2400M), CAT C 870-3300M 700 (800-3300M), CAT D 940-3600M 770 (800-3600M).",PRO
"E0809/23 NOTAMR E3917/22
Q) ENOR/QFUXX/IV/NBO/A /000/999/6547N01313E005
A) ENMS B) 2302232043 C) 2305312359
E) FUEL CHANGED FROM JET A-1 TO JET A-1 + FSII",F
"M0092/23 NOTAMN 
Q) ZJX/QFAXX/IV/NBO/A/000/999/3116N08542W005 A) KOZR KLOR KSXS KFHK KHEY B) 2301262031 C) 2304220630
E) ECH STAGEFIELD (11AL) BEGINNING AM FLIGHT PERIOD, 8 DEC - TILL
 COMPLETE, DURING ALL FLIGHT PERIODS THE CENTER RAMP WILL BE CLOSED
 FOR CONSTRUCTION. ONLY STUDENT SWAPS AND WARM FUEL WILL BE
 CONDUCTED ON LANE 3 AS DIRECTED BY ATC. ADITIONALLY, USE CAUTION
 PERSONNEL AND EQUIPMENT LOCATED NEAR THE CENTER RAMP AREA",C
"B0782/23 NOTAMN
Q) ESAA/QFUAH/IV/BO /A /000/999/5835N01615E005
A) ESSP B) 2304100000 C) 2304162359
E) FUEL AVAILABILITY HOURS OF SERVICE ARE NOW
MON CLSD TUE-WED 0530-1330 THU 0530-1900 FRI 0530-1230 SAT-SUN CLSD",F
"!FDC 2/4936 VA29 SPECIAL UVA CULPEPER MEDICAL CENTER, CULPEPER, VA.
COPTER RNAV (GPS) 170, AMDT 1C...
RDO ALTIMETER UNREL EXC FOR ACFT USING APPROVED ALTERNATIVE 
METHODS OF COMPLIANCE DUE TO 5G C-BAND INTERFERENCE PLUS SEE 
AIRWORTHINESS DIRECTIVES 2021-23-13.

2210170700-2401190506",PRO
"B0724/23 NOTAMN
Q) ESAA/QSTAH/IV/BO /A /000/999/6232N01727E005
A) ESNN B) 2303200000 C) 2303262359
E) AERODROME CONTROL TOWER (TWR) HOURS OF SERVICE ARE NOW MON 
0500-0930 1630-1830, TUE 0500-0930 1630-1830, WED 0500-0930 
1315-2200, THU 0500-0930 1315-2200, FRI 0500-0630 1315-1900, SAT 
CLSD, SUN 1300-1500 1900-2045",GC
!AUN 03/003 AUN APRON FUEL APN S 100FT CLSD TO GA FOR EAA YOUNG EAGLES FLIGHTS 2303111500-2303112300,F
"M0132/23 NOTAMN 
Q) ZJX/QFAXX/IV/NBO/A/000/999/3116N08542W005 
A) KOZR KLOR KHEY KSXS KFHK 
B) 2302061954 
C) 2305050630 
E) KOZR - NO AIRCRAFT PARKING SIERRA AND TANGO ROWS UFN. FLAT IRON WILL UTILIZE THE PARKING AREAS UNTIL CONSTRUCTION OF THE NEW RAMP IS COMPLETE.",C
!ACK 03/020 ACK NAV DME U/S 2303111423-2307122000EST,NAV
"E0628/23 NOTAMN
Q) EDGG/QFALC/IV/NBO/A /000/999/5041N00810E005
A) EDGB B) 2303080926 C) 2303101724
E) AD CLSD DUE TO SNOW.",GC
!MLI 10/090 MLI AD AP SELF SERVE JET A FUEL NOT AVBL 2210281301-2304012359,F
!TRK 03/059 TRK AD AP MOBILE 100LL AND JET A FUEL NOT AVBL 2303090117-2303092300,F
"P2372/23 NOTAMR P0154/23
Q) EDMM/QMPLC/IV/BO /A /000/999/4843N01132E005
A) ETSI B) 2303300605 C) 2306301200
E) RAMP A CLOSED DUE TO CONSTRUCTION WORK",C
!MIV 08/389 0N6 AD AP CLSD EXC PPR 1908301421-PERM,APC
"F0174/23 NOTAMN
Q) RJJJ/QMXLC/IV/M/A/000/999/3335N13027E005
A) RJFF B) 2303021330 C) 2303152130
D) 02 03 06-10 13-15 1330/2130
E) TWY A6,A7,E4 THRU E13,W5(FM G TO M),W8,V,J1 THRU J3,
ACFT STAND TXL G,L(BTN G AND SPOT L2),M,U-CLSD DUE TO MAINT
RMK/EXC ACFT WITH PRIOR PERMISSION AT LEAST 1HR BFR",GC
!IPT 12/242 ETX NAV VOR 255-265 UNUSABLE 2212272326-2306272359,NAV
!DTW 02/656 DTW RWY 09R/27L CLSD 2302281249-2303312100,GC
"J3695/23 NOTAMN
Q) UNNT/QRTCA/IV/BO/W/000/020/5510N08104E027
A) UNNT B) 2303130300 C) 2303181100
D) DAILY 0300-1100
E) AIRSPACE CLSD AS FLW:
1. AREA: 551445N0801928E-551344N0801809E-550939N0802444E-
         550722N0805812E-550451N0805840E-550500N0810110E-
         550739N0810116E-550737N0810114E-550646N0811640E-
         550640N0814904E-551031N0814947E-551227N0802532E-
         551445N0801928E
   400M AMSL-600M AMSL.
2. WI CIRCLE RADIUS 0.5KM CENTRE 550847N0805925E
   SFC-600M AMSL.
F) SFC  G) 600M AMSL",GC
"N1556/23 NOTAMN
Q) UWWW/QRTCA/IV/BO/W/010/030/5550N04925E007
A) UWWW B) 2303110600 C) 2303121500
D) DAILY 0600-1500
E) AIRSPACE CLSD WI AREA:
555600N0492600E-555500N0492800E-555300N0492100E-554700N0493300E-
554530N0493120E-555030N0491900E-555400N0491900E-555600N0492600E.
F) 450M AMSL  G) 650M AMSL",GC
"N1557/23 NOTAMN
Q) UWWW/QRTCA/IV/BO/W/010/030/5547N04922E006
A) UWWW B) 2303110600 C) 2303121500
D) DAILY 0600-1500
E) AIRSPACE CLSD WI AREA:
554900N0491300E-555000N0492000E-554530N0493100E-
554250N0492800E-554900N0491300E
F) 500M AMSL  G) 700M AMSL",GC
