NOTAM Text,Category
"C0890/22 NOTAMN
Q) LIRR/QFAXX/IV/NBO/A/000/999/4222N01318E005
A) LIAP B) 2209160600 C) 2212141800 EST
E) TESTO ITALIANO:
DECOLLI E ATTERRAGI CON PRECAUZIONE.
POSSIBILE PRESENZA DI MEZZI E UOMINI LATO OVEST DELLA PISTA 18/36 PER
LA REALIZZAZIONE DI UNA PISTA IN ERBA ALTERNATIVA ATTUALMENTE CHIUSA
E IN FASE DI CERTIFICAZIONE
ENGLISH TEXT:
TAKE OFF AND LANDING WITH PRECAUTION.
POSSIBLE PRESENCE OF VEHICLES AND MEN WEST SIDE OF RWY 18/36 FOR THE
CONSTRUCTION OF AN ALTERNATIVE GRASS STRIP CURRENTLY CLOSED AND IN
THE PROCESS OF CERTIFICATION
REF AIP AD 2 LIAP 2-1",C
"B0723/22 NOTAMN
Q) EHAA/QOBCE/IV/M  /E /000/007/5139N00442E001
A) EHAA B) 2210061345 C) PERM
E) OBST ERECTED
NEW OBSTACLES UNDER CONSTRUCTION AT LANGEWEG,
3 WIND TURBINES WITHIN AREA BTN:
513843N 0044113E -
513850N 0044142E -
513818N 0044133E.
HEIGHT 685FT AGL, ELEV 685FT AMSL, LGT OBST/DAY W, NIGHT R.
REF AIP ENR 5.4.",C
"B0724/22 NOTAMN
Q) EHAA/QOBCE/IV/M  /E /000/008/5129N00444E001
A) EHAA B) 2210061401 C) PERM
E) NEW OBSTACLES UNDER CONSTRUCTION AT HAZELDONK, 3 WIND TURBINES IN 
LINE BTN PSN: 512938N 0044403E - 512837N 0044313E.
HEIGHT 682FT AGL, ELEV 705FT AMSL: LGT OBST/DAY W, NIGHT R.
REF AIP ENR 5.4.",C
"A0112/22 NOTAMR A0076/22
Q) FIMM/QMRHW/IV/NBO/A/000/999/2025S05740E005
A) FIMP
B) 2210100510 C) 2301071200 EST
E) RE AIP SUP S002/20. SIGNAGE INSTALLATION AND MARKINGS WORKS FOR
CONSTRUCTION OF A STANDBY RUNWAY EXTENDED TO 07 JANUARY 2023.",C
"B0759/22 NOTAMN
Q) EHAA/QOBCE/IV/M  /E /000/999/5230N00545E003
A) EHAA B) 2210211212 C) PERM
E) OBST ERECTED AND UNDER CONSTRUCTION AT DRONTEN, 15 WIND TURBINES 
IN LINE BTN PSN: 523132N 0054629E - 522924N 0054534E - 522803N 
0054254E.
HEIGHT 790 FT AGL, ELEV 804FT AMSL, LGT OBST/DAY W, NIGHT R. REF AIP 
ENR 5.4.",C
"D1533/22 NOTAMR D1530/22
Q) EKDK/QOBCE/IV/M  /E /000/007/5638N00859E002
A) EKDK B) 2210240902 C) PERM
E) OBST ERECTED.
13 WINDTURBINES UNDER CONSTRUCTION AT HINDBORG-SKIVE, PSN:
563702N0085928E
563714N0085922E
563725N0085915E
563737N0085909E
563748N0085902E
563759N0085856E
563811N0085849E
563903N0085843E
563801N0085832E
563750N0085838E
563739N0085845E
563727N0085851E
563716N0085858E
HEIGHT 492 FT AGL, ELEV 617 FT AMSL
NO OBST LGT DURING CONSTRUCTION PHASE.",C
"B0106/22 NOTAMR B0065/22 
Q) FCCC/QFALC/IV/NBO/A/000/999/0252N00959E003
A) FKKB B) 2210241232 C) 2301192359 EST
E) AD CLOSED TO TRAFFIC DUE TO CONSTRUCTION WORKS",C
"B0874/22 NOTAMN
Q) EHAA/QOBCE/IV/M  /E /000/007/5249N00659E001
A) EHAA B) 2212061329 C) PERM
E) NEW OBSTACLES UNDER CONSTRUCTION NEAR EMMEN, 14 WIND TURBINES 
WITHIN AREA BTN: 524947N 0065923E - 524921N 0065946E - 524902N 
0065912E -
524856N 0065744E - 524923N 0065753E - 524943N 0065859E - 524947N 
0065923E. HGT 488 FT AGL, ELEV 531 FT AMSL. NOT LGT.
REF AIP ENR 5.4.",C
"B0876/22 NOTAMN
Q) EHAA/QOBCE/IV/M  /E /000/999/5316N00658E001
A) EHAA B) 2212071424 C) PERM
E) NEW OBSTACLES AT DELFZIJL. 16 WIND TURBINES UNDER CONSTRUCTION 
WITHIN AREA 531639N 0065710E, 531626N 0065924E, 531602N 0065845E, 
531605N 0065706E AND BACK TO 531639N 0065710E.
HEIGHT 663 FT AGL, ELEV 669 FT AMSL. LGT OBST DAY W, NIGHT R.
REF AIP ENR 5.4.",C
"A2930/22 NOTAMN
Q) EHAA/QOBCE/IV/M  /E /000/008/5132N00445E001
A) EHAA B) 2212131142 C) PERM
E) NEW OBSTACLES UNDER CONSTRUCTION AT GALDER, 3 WIND TURBINES 
AROUND PSN 513146N 0044500E. HEIGHT 685FT AGL, ELEV 705FT AMSL, LGT 
OBST/DAY W, NIGHT R. REF AIP ENR 5.4.",C
"B0896/22 NOTAMN
Q) EHAA/QOBCE/IV/M  /E /000/007/5158N00359E002
A) EHAA B) 2212151253 C) 2303151200 EST
E) NEW WINDFARM UNDER CONSTRUCTION BTN PSN 515855N 0035832E, 515744N 
0035754E AND 515613N 0035833E (MAASVLAKTE 2), 607FT AGL, LGTD ONLY 
BTN SS AND SR.",C
"A1420/22 NOTAMR A1146/22
Q) NFFF/QMNXX/IV/NBO/A/000/999/1745S17727E005
A) NFFN B) 2212200517 C) 2303200500 EST
E) APRON (INTERNATIONAL) OPERATIONAL BUT CTN ADZ 
DUE TO ADJ CONSTRUCTION WORKS,  ACFT AT ACFT 
STANDS &apos;GATE 1 AND GATE 2&apos;  SHALL PUSH AND TOW 
FORWARD TO ABEAM GATE 3 BEFORE STARTING ENGINES.",C
"B2394/22 NOTAMR B1790/22
Q) LOVV/QOBCE/IV/M  /A /000/999/4813N01321E005
A) LOLK B) 2212220741 C) 2303201500 EST
E) CRANE ERECTED DUE TO CONSTRUCTION WORKS SOUTH OF TWY.
MAX HEIGHT ABOVE GND: 32M/105FT AGL",C
"B0922/22 NOTAMN
Q) EHAA/QOBCE/IV/M  /AE/000/007/5158N00557E001
A) EHDL B) 2212221042 C) PERM
E) NEW OBSTACLES UNDER CONSTRUCTION AT ARNHEM, 4 WIND TURBINES IN 
LINE BTN PSN 515740N 0055634E AND 515812N 0055709E.
HEIGHT 630 FT AGL, ELEV 686 FT AMSL: LGT OBST/DAY FLG W, NIGHT R. 
REF AIP ENR 5.4.",C
"B0923/22 NOTAMN
Q) EHAA/QOBCE/IV/M  /E /000/007/5138N00443E001
A) EHAA B) 2212221045 C) PERM
E) NEW OBSTACLES UNDER CONSTRUCTION AT BREDA, 2 WIND TURBINES IN 
LINE BTN PSN: 513757N 0044242E AND 513744N 0044251E.
HEIGHT 689 FT AGL, ELEV 699 FT AMSL: LGT OBST/DAY W, NIGHT R. REF 
AIP ENR 5.4.",C
"A1319/22 NOTAMN
Q) LBSR/QXXXX/IV/NBO/E/000/999/4227N02259E005
A) LBSR
B) 2212301400 C) PERM
E) SOFIA WEST/LBSW/AERODROME TEMPORARY CLOSED DUE TO CONSTRUCTION 
WORKS",C
"A9561/22 NOTAMN
Q) LIMM/QFAXX/IV/NBO/A/000/999/4431N01117E005
A) LIPE B) 2212301823 C) 2303292200 EST
E) REF AIP SUP S39/22 IN FORCE FROM 29 DEC 2022 TO 19 APR 2023
BOLOGNA/BORGO PANIGALE (LIPE) AERODROME:
CONSTRUCTION WORKS OF NEW OF APRON 3
CURRENT STATUS OF PHASES
- PHASE 1: ACTIVATED
- PHASE 2: NOT ACTIVATED YET",C
"A0001/23 NOTAMR A4833/22
Q) EYVL/QOBCE/IV/M  /E /000/013/5602N02220E002
A) EYVL B) 2301020739 C) 2303311415 EST
E) OBST ERECTED
NEW GROUP OF OBST, WINDMILL FARMS-DESIGNATION TELSIAI COUNTY
EIGIRDZIAI, UNDER CONSTRUCTION WI AREA 2NM RADIUS CENTRED ON
PSN 5602N 02220E. HGT 755FT,  ELEV 1254FT.  NOT  MARKED/LGTD",C
"A0063/23 NOTAMR A8194/22
Q) LTAA/QMXLC/IV/M  /A /000/999/3657N03729E005
A) LTAJ B) 2301040750 C) 2304040900 EST
E) TWY-G-, TWY -H- ,TWY -J- AND TWY -B1-  CLSD TO ACFT TFC AND TWY 
-A- CLSD TO ACFT TFC BTN TWY -C- AND TWY -G-. NEW APRON-1 CONNECTION 
TWY AND TWY -C- OPENED TO TRAFFIC. BACTRACK SHALL NOT BE DONE AT THE 
LEVEL OF TWY -J- DUE TO CONSTRUCTION WORKS ON AREA (PRESENCE  WORK 
MACHINES AND 2-6 METER HEIGHT SOIL DEPOSIT) DESCRIBED WITH FOLLOWING 
COORDINATES:
365705.35N0372742.11E 365704.48N0372746.45E 365702.45N0372745.74E 
365656.31N0372814.17E 365658.32N0372814.88E 365657.23N0372819.81E 
365655.00N0372820.01E 365652.52N0372831.64E 365647.73N0372829.98E 
365650.21N0372819.21E 365651.18N0372813.28E 365650.00N0372812.86E 
365650.24N0372811.63E 365648.98N0372811.20E 365650.15N0372805.38E 
365652.82N0372806.29E 365657.02N0372745.84E 365659.10N0372732.05E 
365704.37N0372733.09E 365702.66N0372740.98E
ADVISE ATC INSTRUCTIONS AND BE CAUTIOUS.",C
"W0003/23 NOTAMR W0530/22
Q) ZWUQ/QMRXX/IV/NBO/A/000/999/3702N07952E005
A) ZWTN B) 2301041156 C) 2304041559 EST
E) A NEW RWY UNDER CONSTRUCTION DO NOT USE. PSN: PARALLEL TO 
RWY11/29, 1,300M SOUTH OF RWY11/29. EXERCISE CAUTION WHILE LANDING 
AND TAKE-OFF.",C
"N0004/23 NOTAMR N0160/22
Q) EISN/QOBCE/IV/M  /E /000/013/5322N00919W005
A) EISN B) 2301051207 C) 2303131800 EST
D) DAILY 0700-1800
E) CONSTRUCTION OF MOBILE CRANE FOR ERECTION OF ARDDERROO WIND FARM 
TURBINES, COUNTY GALWAY WITH AIRCRAFT WARNING LIGHTS ACTIVE. 
POSITION 532139.32N 0091833.45W, HEIGHT 582FT ELEVATION 1267FT.",C
"N0006/23 NOTAMR N0161/22
Q) EISN/QOBCE/IV/M  /E /000/008/5307N00731W005
A) EISN B) 2301051209 C) 2303131800 EST
D) DAILY 0700-2100
E) CONSTRUCTION OF MOBILE CRANE FOR ERECTION OF CLOGHAN WIND FARM 
TURBINES, COUNTY OFFALY WITH AIRCRAFT WARNING LIGHTS ACTIVE. 
POSITION 530720.14N 0073053.19W, HEIGHT 555FT ELEVATION 752FT.",C
"N0007/23 NOTAMR N0148/22
Q) EISN/QOBCE/IV/M  /E /000/008/5318N00707W005
A) EISN B) 2301051210 C) 2303181720 EST
E) CONSTRUCTION OF MOBILE CRANE FOR ERECTION OF CLONCREEN WINDFARM 
TURBINES, COUNTY OFFALY. 
POSITION 531747.96N 0070656.88W,
HEIGHT 558FT ELEVATION 791FT.
OBSTACLE LIGHTED",C
"N0008/23 NOTAMR N0173/22
Q) EISN/QOBCE/IV/M  /E /000/013/5357N00653W005
A) EISN B) 2301051214 C) 2303131200 EST
E) CONSTRUCTION OF MOBILE CRANE FOR ERECTION OF TAGHART WIND FARM 
TURBINES, COUNTY CAVAN WITH ACFT WARNING LIGHTS ACTIVE. 
MON-FRI 0730-2000, EVERY SAT 0730-1300
POSN 535657.94N 0065302.25W, 
HGT 411FT/ELEV 1283FT",C
"N0009/23 NOTAMR N0162/22
Q) EISN/QOBCE/IV/M  /E /000/010/5409N00937W005
A) EISN B) 2301051215 C) 2303131800 EST
D) MON-SAT 0700-1900
E) CONSTRUCTION OF MOBILE CRANES FOR ERECTION OF OWENINNY WIND FARM
PHASE 2 TURBINES, COUNTY MAYO.
POSITION 540910.97N 0093703.12W,
HEIGHT 578FT ELEVATION 949FT.
OBSTACLE LIGHTED",C
"B0008/23 NOTAMN
Q) LHCC/QFAXX/IV/NBO/A /000/999/4721N01859E005
A) LHTL B) 2301161014 C) 2304142359 EST
E) CAUTION ADVISED DURING TAXIING AT HANGAR II AND HANGAR III DUE TO 
 CONSTRUCTION AND SERVICE ROAD.",C
"A0106/23 NOTAMR A3078/22
Q) LQSB/QFAXX/IV/BO /A /000/999/4349N01820E005
A) LQSA B) 2301191027 C) 2303192100 EST
E) START OF CONSTRUCTION WORKS ON THE EASTERN PART OF THE AIRCRAFT 
PARKING PLATFORM/APRON. CAUTION ADVICE FOR AIRCRAFT CREWS DURING 
TAXIING OF THE AIRCRAFT ON TWY A IN ORDER TO ENTER AND/OR EXIT THE 
AIRCRAFT PARKING PLATFORM/APRON. 
MORE INFORMATION IN THE COMING PERIOD AND OTHER TYPES OF AVIATION 
PUBLICATIONS.",C
"C0197/23 NOTAMN
Q) EDWW/QOBCE/IV/M  /AE/000/005/5204N01138E001
A) EDBM B) 2301191127 C) 2304180000 EST
E) CONSTRUCTION CRANE 600M NORTH OF THRESHOLD 27, ELEV 500FT/367FT 
AGL JIB 30M, DAY AND NIGHT MARKED.",C
"G0041/23 NOTAMN
Q) EPWW/QMXLC/IV/BO /A /000/999/5219N01702E005
A) EPZE B) 2301200900 C) 2304202359 EST
E) TWY B AND C CLSD DUE TO CONSTRUCTION WORKS.",C
"C0286/23 NOTAMN
Q) EDGG/QMPHW/IV/M  /A /000/999/5131N00737E005
A) EDLW B) 2301300500 C) 2304302359 EST
E) DAILY CONSTRUCTION WORK ON THE APRON FROM ACFT STAND 0 TO 12. 
GUIDANCE BY MARSHALLER ON ACFT STAND 5 TO 12.",C
"P0701/23 NOTAMR P8331/22
Q) EDWW/QFALT/IV/NBO/A /000/999/5146N01310E005
A) ETSH B) 2301260805 C) 2303310805 EST
E) PPR 6 HRS DUE TO CONSTRUCTION WORK.",C
"D0068/23 NOTAMN
Q) WBFC/QOBCE/IV/NBO/A /000/002/0410N11419E005
A) WBGM B) 2301290851 C) 2303280000 EST
E) CRANE ERECTED AT THE BRIDGE CONSTRUCTION SITE AT BARAM RIVER FERRY
 
TERMINAL
F) GND                             G) 150FT SFC",C
"A0394/23 NOTAMN
Q) LRBB/QFAXX/IV/NBO/A /000/999/4647N02342E005
A) LRCL B) 2302010803 C) PERM
E) REF AIRAC AIP SUP 04/22 EFFECTIVE DATE 01 DEC 2022,
   LRCL - WORK IN PROGRESS FOR TAXIWAY CONSTRUCTION AT
   CLUJ-NAPOCA / AVRAM IANCU AIRPORT - STAGE II, PAGE 3,
   STANDARD ARRIVAL TAXI ROUTES, LANDING ON RWY 07, ARRIVAL 1B.
   ARRIVAL 1B STANDARD TAXI ROUTE IS MODIFIED AS FOLLOWS:
   TWY G - TWY H - TWY I - TWY K.",C
"A0395/23 NOTAMN
Q) LRBB/QFAXX/IV/NBO/A /000/999/4647N02342E005
A) LRCL B) 2302010806 C) PERM
E) REF AIRAC AIP SUP 04/22 EFFECTIVE DATE 01 DEC 2022,
   LRCL - WORK IN PROGRESS FOR TAXIWAY CONSTRUCTION AT
   CLUJ-NAPOCA / AVRAM IANCU AIRPORT - STAGE II, PAGE 3,
   STANDARD ARRIVAL TAXI ROUTES, LANDING ON RWY 25, ARRIVAL 2B.
   ARRIVAL 2B STANDARD TAXI ROUTE IS MODIFIED AS FOLLOWS:
   RWY BACKTRACK - TWY G - TWY H - TWY I - TWY K.",C
"A0351/23 NOTAMR A3234/22
Q) VOMF/QMXHW/IV/BO/A/000/999/
A) VOVZ B) 2302061030 C) 2305081830 EST
E) WIP FOR CONSTRUCTION OF PARL TWY SOUTH OF
MAIN RWY 10/28.FOREIGN OBJECT DEBRIS BARRIER 
OF HGT 5M INSTL AT A DIST OF 135M FM RCL",C
"A0574/23 NOTAMR A6535/22
Q) UHHH/QFAHW/IV/NBO/A/000/999/5025N12725E005
A) UHBB B) 2302070320 C) 2305070530 EST
E) CLEARED AREA FOR CONSTRUCTION OF NEW RWY (3000X300M) LOCATED EAST
OF RWY 18/36 AT 150M FROM RCL AND PARALLEL TO RWY. EQPT UP TO 8M
HIGH OPR.
EXTREME CAUTION AND STRICT CONTROL OVER LDG PARAMETERS ADVISED
WHILE APPROACHING RWY 18/36. AVOID CONFUSION BTN RWY IN USE AND
CLEARED AREA.",C
"E0374/23 NOTAMR E0053/23
Q) EDWW/QFPHW/IV/B  /A /000/999/5222N00947E005
A) EDXX B) 2302140641 C) 2305132359 EST
E) HANNOVER KINDERKRHS. AUF DER BULT
WIP 46M S OF HELIPAD. INTERFERENCES POSS DUE TO CONSTRUCTION 
EQUIPMENT.",C
"N0033/23 NOTAMR N0010/23
A) LCEN
B) 2302140920  C) 2305140920 EST
E) PRESENCE MOBILE CRANE AND CONSTRUCTION EQUIPMENTS:
 -1070M BEYOND THR RWY 29, 330M NORTH OF CENTERLINE
 -53M NORTH OF PARKING POSITION 11
 -HEIGHT: 35M
 -LIGHTING: NO",C
"D0151/23 NOTAMN
Q) EKDK/QOBCE/IV/M  /E /000/007/5636N00802E005
A) EKDK B) 2302150000 C) PERM
E) 21 WIND TURBINES UNDER CONSTRUCTION AT VESTERHAV NORD, PSN:
563924N0080129E
563901N0080130E
563838N0080130E
563815N0080130E
563752N0080131E
563729N0080131E
563706N0080131E
563643N0080131E
563620N0080132E
563557N0080132E
563534N0080132E
563511N0080133E
563448N0080133E
563425N0080133E
563402N0080134E
563340N0080134E
563316N0080134E
563253N0080134E
563230N0080135E
563207N0080135E
563144N0080135E
WIND TURBINE MAX HEIGHT 633 FT AGL, ELEV 633 FT AMSL (193M)
NO OBST LGT DURING CONSTRUCTION PHASE",C
"D0153/23 NOTAMN
Q) EKDK/QOBCE/IV/M  /E /000/007/5605N00752E005
A) EKDK B) 2302150000 C) PERM
E) 20 WIND TURBINES UNDER CONSTRUCTION AT VESTERHAV SYD, PSN:
560814N0075712E
560752N0075712E
560730N0075712E
560707N0075712E
560645N0075712E
560623N0075712E
560600N0075713E
560539N0075713E
560517N0075713E
560454N0075713E
560432N0075713E
560410N0075713E
560347N0075713E
560325N0075713E
560303N0075713E
560241N0075713E
560219N0075713E
560157N0075713E
560135N0075713E
560113N0075713E
WIND TURBINE MAX HEIGHT 633 FT AGL, ELEV 633 FT AMSL (193M)
NO OBST LGT DURING CONSTRUCTION PHASE",C
"A0693/23 NOTAMR A0559/23
Q) UIII/QOBCE/IV/M/AE/000/999/5216N10424E005
A) UIII B) 2302150700 C) 2312302359 EST
E) CONSTRUCTION CRANES ERECTED WI AREA RADIUS 125M CENTRE
521627.1N 1042039.7E AZM 277DEG DISTANCE 3457M FROM ARP,
MAX ALT 537M. DAY MARKING AND OBSTACLE LGT PROVIDED.",C
"A0544/23 NOTAMR A4386/22
Q) EYVL/QOBCE/IV/M  /E /000/011/5615N02305E001
A) EYVL B) 2302210800 C) 2303311200 EST
E) NEW WINDMILL UNDER CONSTRUCTION AT PSN 561452N 0230435E,
HGT 755FT/ELEV 1043FT. NOT MARKED/LGTD",C
"A0546/23 NOTAMR A4385/22
Q) EYVL/QOBCE/IV/M  /E /000/011/5615N02257E001
A) EYVL B) 2302210800 C) 2303311200 EST
E) NEW GROUP OF OBST, 8 WINDMILL, UNDER CONSTRUCTION WI AREA 1NM
RADIUS CENTRED  ON PSN 5615N 02257E (KRUOPIAI  DISTRICT). HGT
755FT, ELEV 1018FT. NOT MARKED/LGTD",C
"A0547/23 NOTAMR A0545/23
Q) EYVL/QOBCE/IV/M  /E /000/011/5616N02302E002
A) EYVL B) 2302210800 C) 2303311200 EST
E) NEW GROUP OF OBST, 5 WINDMILL, UNDER CONSTRUCTION WI AREA 2NM
RADIUS CENTRED  ON PSN 5616N 02302E (KRUOPIAI  DISTRICT). HGT
755FT, ELEV 1018FT. NOT MARKED/LGTD",C
"A0548/23 NOTAMN
Q) EYVL/QOBCE/IV/M  /E /000/012/5600N02222E001
A) EYVL B) 2302210840 C) 2305261200 EST
E) NEW THREE GROUP OF OBSTACLES UNDER CONSTRUCTION:
1 GROUP: DESIGNATION: TELSIAI COUNTY GINTAUCIAI, TYPE: WINDMILL
FARMS, PSN 560007N 0222035E, ELEV 1166FT/HGT 755FT. 
2 GROUP: DESIGNATION: TELSIAI COUNTY GINTAUCIAI, TYPE: WINDMILL
FARMS, PSN 555916N 0222155E, ELEV 1162FT/HGT 755FT. 
3 GROUP: DESIGNATION: TELSIAI COUNTY GINTAUCIAI, TYPE: WINDMILL
FARMS, PSN 555953N 0222318E, ELEV 1172FT/HGT 755FT",C
"A0566/23 NOTAMN
Q) EYVL/QOBCE/IV/M  /E /000/005/5506N02250E001
A) EYVL B) 2302211144 C) 2305311315 EST
E) NEW OBST. WINDMILL AT PSN 550609N 0225023E UNDER CONSTRUCTION,
DESIGNATION TAURAGE COUNTY ROTULIAI. HGT 331FT/ELEV 485FT, NOT
LGTD",C
"A0595/23 NOTAMN
Q) EYVL/QOBCE/IV/M  /E /000/009/5443N02310E001
A) EYVL B) 2302230700 C) 2305311315 EST
E) NEW OBST, WINDMILL FARMS  UNDER CONSTRUCTION  AT PSN 544232N
0231014E, DESIGNATION: MARIJAMPOLE COUNTY GULBINISKIAI. ELEV
820FT/HGT 656FT, NOT LGTD",C
"A0596/23 NOTAMN
Q) EYVL/QOBCE/IV/M  /E /000/009/5441N02316E001
A) EYVL B) 2302230800 C) 2305311315 EST
E) NEW OBST, WINDMILL FARMS  UNDER CONSTRUCTION  AT PSN 544115N
0231618E, DESIGNATION: MARIJAMPOLE COUNTY  BEBRININKAI. ELEV
826FT/HGT 656FT, NOT LGTD",C
